"Grouped by Date","Time","Average Activity","Spent"
"2024-12-11","4:00:54","-",63.39
"2024-12-12","6:09:33","-",100.34
"2024-12-13","15:30:58","-",272.57
"2024-12-14","8:56:28","-",134.12
"2024-12-15","11:10:00","-",143.33
"2024-12-16","6:27:44","-",89.24
"2024-12-17","19:37:59","72%",267.41
"2024-12-18","7:45:32","77%",133.24
"2024-12-19","0:21:36","-",7.2
"2024-12-20","9:28:38","75%",125.46
"2024-12-21","8:54:40","73%",120.09
"2024-12-22","1:15:00","-",18.75
"2024-12-23","8:44:37","64%",112.15
"2024-12-26","11:29:15","72%",143.3
"2024-12-27","9:22:53","74%",98.37
"2024-12-28","12:00:35","-",156.13
"2024-12-29","1:53:24","58%",15.12
"2024-12-30","10:02:20","64%",133.14
"2025-01-03","10:47:14","62%",144.3
"2025-01-04","5:31:31","68%",71.04
"2025-01-06","3:58:19","82%",32.33
"2025-01-07","1:13:43","-",15.97
"2025-01-08","1:39:12","-",21.49
"2025-01-09","4:23:35","-",65.9
"2025-01-10","10:52:18","-",163.07
"2025-01-11","1:20:48","-",20.2
"2025-01-13","2:46:04","-",41.52
"2025-01-19","1:11:57","77%",9.59
"2025-01-20","4:10:14","67%",33.36
"2025-01-21","4:05:17","60%",32.7
"2025-01-22","2:51:46","72%",22.9
"2025-01-23","0:59:09","67%",7.89
"2025-01-25","13:34:27","57%",276.75
"2025-01-26","58:46:26","56%",1118.28
"2025-01-27","36:34:04","63%",707.28
"2025-01-28","12:33:44","63%",175.08
"2025-01-29","7:30:05","59%",74.96
"2025-01-30","17:51:19","60%",288.35
"2025-01-31","8:20:34","73%",80.58
"2025-02-01","6:39:12","71%",53.23
"2025-02-02","2:34:36","83%",20.61
"2025-02-03","12:13:31","76%",148.18
"2025-02-04","20:43:09","79%",344.12
"2025-02-05","12:52:54","82%",184.7
"2025-02-06","11:08:21","76%",157.94
"2025-02-07","22:34:20","76%",363.84
"2025-02-08","2:36:44","78%",35.99
"2025-02-09","2:03:00","78%",16.4
"2025-02-10","11:08:42","74%",154.81
"2025-02-11","10:40:07","69%",130.07
"2025-02-12","8:39:46","64%",115.87
"2025-02-13","7:31:11","84%",88.16
"2025-02-14","12:57:59","77%",173.46
"2025-02-15","3:56:58","83%",58.96
"2025-02-16","5:13:01","74%",41.74
"2025-02-17","20:23:21","79%",336.84
"2025-02-18","13:08:28","79%",196.26
"2025-02-19","12:00:49","76%",154.97
"2025-02-20","8:49:13","79%",91.68
"2025-02-21","14:04:09","69%",217.05
"2025-02-22","1:51:33","59%",26.87
"2025-02-23","2:37:40","68%",21.02
"2025-02-24","12:16:39","78%",172.88
"2025-02-25","5:04:05","-",101.36
"2025-02-26","9:45:24","75%",111.09
"2025-02-27","13:05:03","73%",187.43
"2025-02-28","14:22:41","85%",199.61
"2025-03-01","1:19:32","-",26.51
"2025-03-02","8:11:29","72%",65.53
"2025-03-03","1:11:49","70%",9.58
"2025-03-04","7:58:42","69%",89.56
"2025-03-05","9:54:45","54%",121.8
"2025-03-06","1:27:38","-",29.21
"2025-03-07","12:08:56","60%",153.61
"2025-03-08","4:26:24","79%",35.52
"2025-03-09","0:24:37","75%",3.28
"2025-03-10","5:28:35","77%",56.95
"2025-03-11","10:02:37","78%",146.74
"2025-03-12","1:48:07","70%",14.41
"2025-03-13","3:49:40","80%",45.02
"2025-03-14","6:47:51","74%",86.27
"2025-03-15","0:00:01","-",0.01
"2025-03-16","4:12:01","73%",33.61
"2025-03-17","4:12:38","71%",63.8
"2025-03-18","4:27:57","73%",50.34
"2025-03-19","2:30:55","70%",25.85
"2025-03-20","2:59:02","62%",44.85
"2025-03-21","3:24:36","-",68.2
"2025-03-22","4:00:52","-",80.29
